File,Bytes,SHA256
tables/market_phase_episodes.csv,20176,683b3368fd019c4f0cc9311bf2de32da61d93d959636fe1bca2ac81e7e30c899
tables/market_phase_summary.csv,602,aad28c9b71156c5b61e4993776e020f35f07192a699b4eb7f903873c616b1289
tables/model_confidence_set.csv,159,5c8690560cb9f79fca33b5a7d4a0ce17dcd02bbefb3dd20236e96c1a4e578efe
tables/paired_moving_block_bootstrap.csv,6410,e4d2ecabc736a5760d6dfce6981feb4916546ba0c5f57d11ba699de392485b0d
tables/pearson_correlation.csv,2741,08ccfaa94f29e646c69ef569714077fd18d10a74bb53ed1749717d9eee7f3b0b
tables/performance_by_market_phase.csv,3912,8af06a44236c3e10da0be19e3d20833b33da023c5e9a94e901a283ade5a6fcff
tables/performance_by_policy_seed.csv,17953,758d728712cb33af8a3435db3744ab171647cda8a2484b269b82bb8257d90a52
tables/performance_policy_seed_summary.csv,15957,a7130e92e1473d1bd2f518091083f4ea41ff293ca24a379296dd81e35e96184d
tables/source_file_manifest.csv,2423,b8982433ac217720d99bec0f5d04b71936ad1b2b0597dd3b247a548ae1419934
tables/spearman_correlation.csv,2741,87a521204b2cde6b3eaf657fc7333c426418227ae1606c98921dfaa98cdcc6dc
tables/trading_volume.csv,530972,eaf537cce74f6d674fdf829b55d6da5cd5a64d080de24cdd31280638ecda68f2
tables/xgat_temporal_mode_performance_by_seed.csv,6384,a5300009ae315aefe451a75160872d564b06d65a47e3b48c51ea23787b6349f2
tables/xgat_temporal_mode_summary.csv,5880,541c02ff5b2c1bb9a1cfe50a75204075120e77f2f4172d96f32033bab8600f81
